risk_tier,users,churned_users,churn_rate,avg_probability,min_probability,max_probability,churn_rate_pct,avg_probability_pct
Low Risk,2002,218,0.1088911088911089,0.10041288321053929,0.0170020786935292,0.2175663890555516,10.88911088911089,10.041288321053928
Medium Risk,572,163,0.28496503496503495,0.2903786105454981,0.2180933919750481,0.382164510566983,28.496503496503493,29.037861054549808
High Risk,286,126,0.4405594405594406,0.48346369625172064,0.3827885217346508,0.8187496419885386,44.05594405594406,48.346369625172066
