model,best_params,cv_precision,cv_recall,cv_f1,cv_f2,cv_roc_auc,cv_pr_auc
SVM,"{'model__C': 0.1, 'model__gamma': 0.001, 'model__kernel': 'rbf'}",0.3118430059764953,0.7325690250215703,0.43731764003672524,0.5766882942146522,0.7511902469096715,0.3816438142425199
SVM_RobustCapped,"{'model__C': 10, 'model__gamma': 0.001, 'model__kernel': 'rbf'}",0.30759687360323806,0.7338848144952546,0.43341430024895394,0.574490477407071,0.748027077051552,0.3765628655487371
LogisticRegression,"{'model__C': 0.1, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.31861212619595164,0.7161432269197585,0.4409196574648762,0.5729913456044684,0.7529345253164828,0.3948715860471309
LogisticRegression_RobustCapped,"{'model__C': 0.01, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.3202720641810318,0.7115379637618637,0.44157368595633606,0.5716213880367619,0.7534234702300301,0.38796646069929924
XGBoost,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 150, 'model__reg_lambda': 1, 'model__subsample': 1.0}",0.3227965040357462,0.696427955133736,0.4410205625609994,0.5653682814533753,0.7432359148257421,0.38131832347174777
DecisionTree,"{'model__max_depth': 3, 'model__min_samples_leaf': 20, 'model__min_samples_split': 50}",0.30282060918692955,0.7154810181190682,0.4249700468669605,0.5614213369544918,0.7308425171769912,0.3392712590140336
RandomForest,"{'model__max_depth': 5, 'model__max_features': 0.5, 'model__min_samples_leaf': 50}",0.32894348829204784,0.6694844693701467,0.44099678565012657,0.5544649300605123,0.7473354281265624,0.38787536306913656
DummyClassifier,{},0.0,0.0,0.0,0.0,0.5,0.17740993700177374
